id,candidate_id,candidate_name,job_id,job_title,status,source,applied_at,evaluation_score,evaluation_notes,offer_salary,offer_made_at,offer_deadline,offer_notes,joined_at,notes,registered_by_id,created_at,updated_at
a0011-0000-0000-0000-0000000000011,c0001-0000-0000-0000-000000000001,西村 真由美,j0009-0000-0000-0000-000000000009,理学療法士（リハビリ科）,interview_scheduled,ハローワーク,2025-11-12T19:20:55+09:00,4,面接評価コメント,,,,,,,u001,2025-12-09T19:20:55+09:00,2025-12-25T19:20:55+09:00
a0012-0000-0000-0000-0000000000012,c0001-0000-0000-0000-000000000001,西村 真由美,j0010-0000-0000-0000-0000000000010,看護助手,document_screening,ハローワーク,2025-11-07T19:20:55+09:00,,,,,,,,,u002,2025-11-21T19:20:55+09:00,2025-12-27T19:20:55+09:00
a0013-0000-0000-0000-0000000000013,c0016-0000-0000-0000-0000000000016,新井 拓真,j0001-0000-0000-0000-000000000001,正看護師（病棟）,document_passed,ナース人材バンク,2025-12-12T19:20:55+09:00,4,面接評価コメント,,,,,,,u005,2025-12-04T19:20:55+09:00,2025-12-26T19:20:55+09:00
a0014-0000-0000-0000-0000000000014,c0009-0000-0000-0000-000000000009,村田 優子,j0010-0000-0000-0000-0000000000010,看護助手,document_rejected,自社採用サイト,2025-11-26T19:20:55+09:00,2,面接評価コメント,,,,,,,u004,2025-11-21T19:20:55+09:00,2025-12-26T19:20:55+09:00
a0015-0000-0000-0000-0000000000015,c0003-0000-0000-0000-000000000003,原田 美紀,j0004-0000-0000-0000-000000000004,臨床検査技師,interview_scheduled,レバウェル看護,2025-11-04T19:20:55+09:00,5,面接評価コメント,,,,,,,u001,2025-12-29T19:20:55+09:00,2025-12-29T19:20:55+09:00
a0016-0000-0000-0000-0000000000016,c0002-0000-0000-0000-000000000002,上田 洋介,j0003-0000-0000-0000-000000000003,准看護師（透析室）,document_passed,レバウェル看護,2025-12-11T19:20:55+09:00,2,面接評価コメント,,,,,,,u003,2025-12-20T19:20:55+09:00,2025-12-28T19:20:55+09:00
a0017-0000-0000-0000-0000000000017,c0008-0000-0000-0000-000000000008,小川 翼,j0006-0000-0000-0000-000000000006,医療事務（受付）,new,ジョブメドレー,2025-11-19T19:20:55+09:00,,,,,,,,,u004,2025-12-24T19:20:55+09:00,2025-12-27T19:20:55+09:00
a0018-0000-0000-0000-0000000000018,c0010-0000-0000-0000-0000000000010,近藤 大地,j0005-0000-0000-0000-000000000005,診療放射線技師,offer_pending,ハローワーク,2025-11-29T19:20:55+09:00,5,面接評価コメント,,,,,,,u001,2025-12-07T19:20:55+09:00,2025-12-23T19:20:55+09:00
a0019-0000-0000-0000-0000000000019,c0002-0000-0000-0000-000000000002,上田 洋介,j0001-0000-0000-0000-000000000001,正看護師（病棟）,document_screening,自社採用サイト,2025-11-21T19:20:55+09:00,,,,,,,,,u003,2025-11-24T19:20:55+09:00,2025-12-28T19:20:55+09:00
a0020-0000-0000-0000-0000000000020,c0004-0000-0000-0000-000000000004,福田 健太,j0008-0000-0000-0000-000000000008,薬剤師,rejected,ナース人材バンク,2025-12-13T19:20:55+09:00,2,面接評価コメント,,,,,,,u005,2025-11-28T19:20:55+09:00,2025-12-24T19:20:55+09:00
