id,candidate_id,candidate_name,job_id,job_title,status,source,applied_at,evaluation_score,evaluation_notes,offer_salary,offer_made_at,offer_deadline,offer_notes,joined_at,notes,registered_by_id,created_at,updated_at
a0011-0000-0000-0000-0000000000011,c0006-0000-0000-0000-000000000006,高橋 由美,j0003-0000-0000-0000-000000000003,訪問介護スタッフ（サ責候補）,interview_scheduled,自社採用サイト,2025-11-12T19:20:54+09:00,4,面接評価コメント,,,,,,,u002,2025-12-04T19:20:54+09:00,2025-12-23T19:20:54+09:00
a0012-0000-0000-0000-0000000000012,c0019-0000-0000-0000-0000000000019,山本 拓海,j0006-0000-0000-0000-000000000006,生活相談員,interviewing,リクルート介護,2025-11-23T19:20:54+09:00,2,面接評価コメント,,,,,,,u003,2025-11-19T19:20:54+09:00,2025-12-26T19:20:54+09:00
a0013-0000-0000-0000-0000000000013,c0018-0000-0000-0000-0000000000018,清水 優子,j0004-0000-0000-0000-000000000004,介護職員（デイサービス）,new,Indeed,2025-12-26T19:20:54+09:00,,,,,,,,,u005,2025-11-01T19:20:54+09:00,2025-12-25T19:20:54+09:00
a0014-0000-0000-0000-0000000000014,c0003-0000-0000-0000-000000000003,佐藤 健一,j0003-0000-0000-0000-000000000003,訪問介護スタッフ（サ責候補）,document_passed,リクルート介護,2025-11-18T19:20:54+09:00,4,面接評価コメント,,,,,,,u001,2025-11-29T19:20:54+09:00,2025-12-27T19:20:54+09:00
a0015-0000-0000-0000-0000000000015,c0001-0000-0000-0000-000000000001,山田 太郎,j0005-0000-0000-0000-000000000005,夜勤専従介護スタッフ,document_passed,リクルート介護,2025-12-16T19:20:54+09:00,3,面接評価コメント,,,,,,,u002,2025-11-25T19:20:54+09:00,2025-12-26T19:20:54+09:00
a0016-0000-0000-0000-0000000000016,c0003-0000-0000-0000-000000000003,佐藤 健一,j0005-0000-0000-0000-000000000005,夜勤専従介護スタッフ,interview_scheduled,Indeed,2025-12-03T19:20:54+09:00,2,面接評価コメント,,,,,,,u003,2025-12-11T19:20:54+09:00,2025-12-25T19:20:54+09:00
a0017-0000-0000-0000-0000000000017,c0002-0000-0000-0000-000000000002,鈴木 花子,j0005-0000-0000-0000-000000000005,夜勤専従介護スタッフ,rejected,リクルート介護,2025-12-20T19:20:54+09:00,3,面接評価コメント,,,,,,,u005,2025-11-05T19:20:54+09:00,2025-12-25T19:20:54+09:00
a0018-0000-0000-0000-0000000000018,c0011-0000-0000-0000-0000000000011,松本 大輔,j0006-0000-0000-0000-000000000006,生活相談員,offer_accepted,マイナビ介護,2025-11-30T19:20:54+09:00,4,面接評価コメント,321,2025-12-16T19:20:54+09:00,2025-01-31,,,,u003,2025-12-29T19:20:54+09:00,2025-12-25T19:20:54+09:00
a0019-0000-0000-0000-0000000000019,c0016-0000-0000-0000-0000000000016,岡田 麻衣,j0001-0000-0000-0000-000000000001,介護福祉士（特別養護老人ホーム）,on_hold,Indeed,2025-12-08T19:20:54+09:00,4,面接評価コメント,,,,,,,u002,2025-11-24T19:20:54+09:00,2025-12-29T19:20:54+09:00
a0020-0000-0000-0000-0000000000020,c0009-0000-0000-0000-000000000009,小林 拓也,j0004-0000-0000-0000-000000000004,介護職員（デイサービス）,document_rejected,マイナビ介護,2025-12-01T19:20:54+09:00,4,面接評価コメント,,,,,,,u002,2025-11-12T19:20:54+09:00,2025-12-29T19:20:54+09:00
